dimension;category;definition
saa;Coastal and Oceanic Systems;These are the marine ecosystems along the coast and in the ocean, including coral reefs, mangroves, fishing communities, and coastal urban areas. These systems are highly susceptible to the impacts of climate change, such as sea level rise, ocean acidification, and extreme weather events.
saa;Cross-cutting Enabler: Finance;Planning and financing are essential to understanding the impacts of climate change across different systems, making informed decisions, and allocating resources to implement and accelerate adaptation.
saa;Cross-cutting Enabler: Planning;Planning and financing are essential to understanding the impacts of climate change across different systems, making informed decisions, and allocating resources to implement and accelerate adaptation.
saa;Food and Agriculture Systems;Refer to the entire process of producing, processing, distributing, and consuming food and agricultural products, including the impact on food security, nutrition and health, social equity, and the economy.
saa;Health systems;Health Systems
saa;Human Settlements Systems;These are the constructed environments where people live, work and play, including urban, suburban and rural areas. Human settlements are vulnerable to the impacts of climate change, including sea level rise, increased heat, and extreme weather events.
saa;Infrastructure Systems;These are the critical systems that support human activity, such as energy and transportation systems. Climate change can cause disruptions to these systems, such as damage to hydroelectric power or rail assets caused by flooding, or changes in demand caused by heat waves.
saa;Water and Nature Systems;Encompass the interrelated ecological and hydrological systems, including agricultural land, wilderness areas, and rural communities, and their impact on biodiversity, water resources, and the functioning of wastewater systems.
action type;Climate risk and vulnerability assessments, disclosure and monitoring actions;This category focuses on conducting thorough assessments of climate risks and vulnerabilities. It involves the disclosure of these assessments and continuous monitoring to inform and guide climate resilience strategies. The goal is to understand and communicate the extent of climate risks to better prepare and adapt to climatic changes.
action type;Access to early warning systems and development of early actions;Establishes advanced warning systems to foresee and act before extreme or slow-evolving climatic events occur, developing rapid and efficient response capabilities at various levels.
action type;Preparedness with contingency plans and emergency response;Integrates climate risk and vulnerability analysis into national emergency preparedness and response strategies, aiming to equip nations for handling and mitigating climatic disasters.
action type;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building;Encourages inclusive climate risk management in policy and action planning at all levels, with a focus on the most vulnerable and marginalized groups.
action type;Nature-based solutions used to reduce risks;Promotes ecological and sustainable solutions in planning policies and practices, like ecosystem conservation and natural habitat restoration, to mitigate climate impacts.
action type;Climate-proofing of infrastructure and services;Adapts and strengthens infrastructures and services to be resilient to climate risks, including updating building codes and engineering practices.
