level;text;sub_ra;ra
1;Adaptation;Autonomy;Agency
2;Authority;Autonomy;Agency
3;Autonomous;Autonomy;Agency
3;Autonomy;Autonomy;Agency
1;Choices;Autonomy;Agency
2;Control;Autonomy;Agency
1;Decisions;Autonomy;Agency
1;Determinations;Autonomy;Agency
1;Emancipation;Autonomy;Agency
2;Empowerment;Autonomy;Agency
3;Freedom;Autonomy;Agency
2;Home rule;Autonomy;Agency
3;Independence;Autonomy;Agency
3;Independent;Autonomy;Agency
3;Liberty;Autonomy;Agency
2;Personalization;Autonomy;Agency
1;Proactivity;Autonomy;Agency
1;Recovery;Autonomy;Agency
1;Resolutions;Autonomy;Agency
1;Self-assessment;Autonomy;Agency
2;Self-confidence;Autonomy;Agency
3;Self-determination;Autonomy;Agency
2;Self-government;Autonomy;Agency
2;Self-initiative;Autonomy;Agency
2;Self-management;Autonomy;Agency
3;Self-reliant;Autonomy;Agency
3;Self-rule;Autonomy;Agency
3;Self-sufficient;Autonomy;Agency
2;Sovereignty;Autonomy;Agency
1;Unbiased;Autonomy;Agency
original definition;The ability of an individual, system or community to independently make decisions and take actions in response to challenges or changes. This ability promotes more personalized and effective adaptation to specific circumstances, resulting in greater resilience.;Autonomy;Agency
Affirmation;Communities with strong autonomy can respond quickly to local challenges.;Autonomy;Agency
Affirmation;Autonomous decision-making allows for tailored solutions to unique problems.;Autonomy;Agency
Affirmation;Local leaders play a key role in fostering community autonomy.;Autonomy;Agency
Affirmation;Developing self-reliance reduces dependency on external support during crises.;Autonomy;Agency
Affirmation;Autonomy empowers individuals to make informed choices about their environment.;Autonomy;Agency
Affirmation;A resilient system relies on its capacity for independent action.;Autonomy;Agency
Affirmation;Autonomy in resource management leads to more effective adaptation strategies.;Autonomy;Agency
Affirmation;Self-sufficient communities can better handle unexpected climate challenges.;Autonomy;Agency
Affirmation;Decentralized governance enhances local autonomy in decision-making.;Autonomy;Agency
Affirmation;Training individuals to make independent decisions fosters resilience.;Autonomy;Agency
Affirmation;Autonomy enables communities to implement solutions based on their specific needs.;Autonomy;Agency
Affirmation;Personal autonomy is essential for adapting to rapid environmental changes.;Autonomy;Agency
Affirmation;Autonomous systems can adapt more efficiently to disruptions.;Autonomy;Agency
Affirmation;Encouraging self-determination strengthens adaptive capacity.;Autonomy;Agency
Affirmation;Individuals with autonomy are better equipped to face uncertainty.;Autonomy;Agency
Affirmation;Community autonomy promotes faster recovery after natural disasters.;Autonomy;Agency
Affirmation;Autonomous farming practices allow adaptation to changing climate conditions.;Autonomy;Agency
Affirmation;Self-governed initiatives are often more sustainable and impactful.;Autonomy;Agency
Affirmation;Autonomy in disaster planning improves response times.;Autonomy;Agency
Affirmation;Building autonomy in energy generation supports local climate resilience.;Autonomy;Agency
Affirmation;Empowering local communities fosters a sense of autonomy and responsibility.;Autonomy;Agency
Affirmation;Independent problem-solving abilities are key to adapting to challenges.;Autonomy;Agency
Affirmation;Autonomous systems reduce reliance on centralized structures during crises.;Autonomy;Agency
Affirmation;Decentralized water management enhances community autonomy.;Autonomy;Agency
Affirmation;Autonomous transportation networks improve mobility during emergencies.;Autonomy;Agency
Affirmation;Autonomy encourages innovative approaches to adapting to climate impacts.;Autonomy;Agency
Affirmation;Personal autonomy in decision-making leads to more effective individual adaptation.;Autonomy;Agency
Affirmation;Systems with high autonomy are less vulnerable to external disruptions.;Autonomy;Agency
Affirmation;Encouraging autonomy in local governance promotes customized climate strategies.;Autonomy;Agency
Affirmation;Autonomous disaster response teams provide immediate relief during emergencies.;Autonomy;Agency
Affirmation;Financial autonomy helps households recover from climate-related losses.;Autonomy;Agency
Affirmation;Autonomy in education allows communities to address local environmental challenges.;Autonomy;Agency
Affirmation;Independent adaptation strategies often align more closely with local needs.;Autonomy;Agency
Affirmation;Supporting autonomy in resource allocation enhances equity and resilience.;Autonomy;Agency
Affirmation;Personal autonomy is critical in choosing sustainable lifestyle practices.;Autonomy;Agency
Affirmation;Systems designed for autonomy can scale their responses to meet changing needs.;Autonomy;Agency
Affirmation;Autonomous governance reduces bureaucratic delays in implementing solutions.;Autonomy;Agency
Affirmation;Empowering individuals through skills training enhances autonomy in adaptation.;Autonomy;Agency
Affirmation;Autonomous learning processes ensure continuous adaptation to new challenges.;Autonomy;Agency
Affirmation;Community-driven solutions reflect the autonomy and agency of their members.;Autonomy;Agency
Affirmation;Autonomy promotes faster adaptation to rapid environmental changes.;Autonomy;Agency
Affirmation;Self-sufficient energy systems increase resilience to power outages.;Autonomy;Agency
Affirmation;Autonomous decision-making reduces dependence on external expertise.;Autonomy;Agency
Affirmation;Developing autonomous health services improves response to climate-related health issues.;Autonomy;Agency
Affirmation;Autonomy supports proactive rather than reactive responses to challenges.;Autonomy;Agency
Affirmation;Independent infrastructure planning enables tailored responses to local needs.;Autonomy;Agency
Affirmation;Autonomy in food production secures community access to vital resources.;Autonomy;Agency
Affirmation;Encouraging self-governance builds local ownership of adaptation strategies.;Autonomy;Agency
Affirmation;Autonomous financial systems reduce vulnerabilities to global economic fluctuations.;Autonomy;Agency
Affirmation;Systems with built-in autonomy adjust effectively to shifting environmental conditions.;Autonomy;Agency
2;Aid;Basic services;Assets
2;Amenities;Basic services;Assets
2;Assistance;Basic services;Assets
1;Benefit;Basic services;Assets
1;Community Services;Basic services;Assets
3;Condition;Basic services;Assets
1;Cuisine;Basic services;Assets
2;Facilities;Basic services;Assets
1;Food;Basic services;Assets
3;Health;Basic services;Assets
3;Healthcare;Basic services;Assets
2;Help;Basic services;Assets
3;Hygiene;Basic services;Assets
3;Medical;Basic services;Assets
1;Nourishment;Basic services;Assets
1;Nutrition;Basic services;Assets
1;Prosperity;Basic services;Assets
3;Public Health;Basic services;Assets
3;Rehabilitation;Basic services;Assets
2;Resources;Basic services;Assets
2;Safety;Basic services;Assets
2;Services;Basic services;Assets
1;Social Support;Basic services;Assets
2;Support;Basic services;Assets
1;Sustenance;Basic services;Assets
3;Treatment;Basic services;Assets
1;Utilities;Basic services;Assets
2;Welfare;Basic services;Assets
3;Well-being;Basic services;Assets
3;Wellness;Basic services;Assets
original definition;Access to a wide range of services is a crucial component of supporting climate change adaptation. A resilient system ensures that these services remain accessible and functional during shocks, ensuring the well-being of the community.;Basic services;Assets
Affirmation;Access to healthcare during disasters is essential for community resilience.;Basic services;Assets
Affirmation;A reliable water supply helps communities adapt to climate change impacts.;Basic services;Assets
Affirmation;Education services must remain operational during extreme weather events.;Basic services;Assets
Affirmation;Emergency services must be prepared to respond during floods and heatwaves.;Basic services;Assets
Affirmation;Access to affordable energy is key to maintaining essential services in a community.;Basic services;Assets
Affirmation;Public transportation systems should be designed to operate during climate-related disruptions.;Basic services;Assets
Affirmation;Ensuring food distribution systems remain functional during droughts is critical.;Basic services;Assets
Affirmation;Communities require robust waste management systems to handle climate-related challenges.;Basic services;Assets
Affirmation;Digital connectivity helps communities access information during climate emergencies.;Basic services;Assets
Affirmation;Access to sanitation services prevents health crises during floods and droughts.;Basic services;Assets
Affirmation;Affordable housing ensures safety and security during climate-related events.;Basic services;Assets
Affirmation;Local markets must be accessible to provide essentials during climate disruptions.;Basic services;Assets
Affirmation;Medical supplies need to be stocked in preparation for extreme weather.;Basic services;Assets
Affirmation;Continuity of financial services supports community recovery after disasters.;Basic services;Assets
Affirmation;Rural areas need reliable access to basic utilities like water and power.;Basic services;Assets
Affirmation;Early warning systems must be accessible to everyone in the community.;Basic services;Assets
Affirmation;Public health campaigns educate communities about climate resilience.;Basic services;Assets
Affirmation;Affordable childcare services enable families to recover after climate disruptions.;Basic services;Assets
Affirmation;Disaster shelters must be equipped with essential services for displaced families.;Basic services;Assets
Affirmation;Public parks and recreational spaces support community well-being during heatwaves.;Basic services;Assets
Affirmation;A resilient communication network ensures rapid response during emergencies.;Basic services;Assets
Affirmation;Continuous access to mental health support is vital during prolonged climate challenges.;Basic services;Assets
Affirmation;Reliable internet services connect people to resources and information during disasters.;Basic services;Assets
Affirmation;Agricultural extension services help farmers adapt to changing climate conditions.;Basic services;Assets
Affirmation;Resilient roads and bridges ensure uninterrupted access to essential services.;Basic services;Assets
Affirmation;Banking services must operate during climate-induced economic shocks.;Basic services;Assets
Affirmation;Safe drinking water sources protect against waterborne diseases after floods.;Basic services;Assets
Affirmation;Free or affordable legal aid supports vulnerable populations after climate-related incidents.;Basic services;Assets
Affirmation;Veterinary services ensure the safety of livestock during extreme weather.;Basic services;Assets
Affirmation;Urban planning must prioritize access to critical services in disaster-prone areas.;Basic services;Assets
Affirmation;Community kitchens provide meals during prolonged climate crises.;Basic services;Assets
Affirmation;Electricity grids need to be climate-resilient to support community needs.;Basic services;Assets
Affirmation;Local NGOs play a crucial role in delivering basic services during disasters.;Basic services;Assets
Affirmation;Schools must be retrofitted to act as emergency shelters during disasters.;Basic services;Assets
Affirmation;Public libraries can serve as resource hubs during climate emergencies.;Basic services;Assets
Affirmation;Local authorities must invest in flood-proof infrastructure to protect basic services.;Basic services;Assets
Affirmation;Community gardens can supplement food supplies during droughts.;Basic services;Assets
Affirmation;Affordable insurance services mitigate the impacts of climate events on households.;Basic services;Assets
Affirmation;Centralized cooling centers provide relief during extreme heat events.;Basic services;Assets
Affirmation;A diversified energy grid ensures uninterrupted power supply during natural disasters.;Basic services;Assets
Affirmation;Mobile clinics extend healthcare access to remote communities after disasters.;Basic services;Assets
Affirmation;Social protection schemes offer financial assistance during climate emergencies.;Basic services;Assets
Affirmation;Emergency water distribution points are crucial in drought-prone areas.;Basic services;Assets
Affirmation;Flood-resistant transportation systems ensure mobility during severe weather.;Basic services;Assets
Affirmation;Access to job training programs helps rebuild livelihoods after climate disruptions.;Basic services;Assets
Affirmation;Resilient power systems maintain operation of essential equipment during emergencies.;Basic services;Assets
Affirmation;Public restrooms must be functional during extreme weather events to maintain hygiene.;Basic services;Assets
Affirmation;Distribution of emergency kits ensures immediate relief during disasters.;Basic services;Assets
Affirmation;Maintaining access to public health records during emergencies facilitates recovery efforts.;Basic services;Assets
Affirmation;Collaboration between agencies ensures continuity of basic services during disasters.;Basic services;Assets
3;Activating;Collective Participation;Social Collaboration
1;Active Participation;Collective Participation;Social Collaboration
1;Alliance;Collective Participation;Social Collaboration
2;Assembly;Collective Participation;Social Collaboration
1;Cohesion;Collective Participation;Social Collaboration
3;Collaborative;Collective Participation;Social Collaboration
2;Collective;Collective Participation;Social Collaboration
2;Combined;Collective Participation;Social Collaboration
3;Community;Collective Participation;Social Collaboration
1;Contribution;Collective Participation;Social Collaboration
3;Cooperative;Collective Participation;Social Collaboration
1;Engagement;Collective Participation;Social Collaboration
1;Gathering;Collective Participation;Social Collaboration
3;Group;Collective Participation;Social Collaboration
1;Interaction;Collective Participation;Social Collaboration
1;Involvement;Collective Participation;Social Collaboration
3;Joint;Collective Participation;Social Collaboration
3;Mobilizing;Collective Participation;Social Collaboration
2;Mutual;Collective Participation;Social Collaboration
2;Neighborhood;Collective Participation;Social Collaboration
2;Network;Collective Participation;Social Collaboration
2;Participation;Collective Participation;Social Collaboration
3;Partnership;Collective Participation;Social Collaboration
3;Rallying;Collective Participation;Social Collaboration
2;Shared;Collective Participation;Social Collaboration
2;Society;Collective Participation;Social Collaboration
1;Solidarity;Collective Participation;Social Collaboration
1;Support;Collective Participation;Social Collaboration
3;Team;Collective Participation;Social Collaboration
2;United;Collective Participation;Social Collaboration
original definition;Collective participation is a vital aspect of resilience, enabling the mobilization of individuals and groups towards common goals. It fosters social cohesion and drives collaborative action, particularly in response to challenges like climate change. By promoting collective participation, communities strengthen their bonds, foster shared ownership and solidarity, and empower individuals to work together for the greater good.;Collective Participation;Social Collaboration
2;Affiliations;Connectivity;Social Collaboration
1;Aid;Connectivity;Social Collaboration
1;Assistance;Connectivity;Social Collaboration
2;Associations;Connectivity;Social Collaboration
1;Backing;Connectivity;Social Collaboration
2;Bonds;Connectivity;Social Collaboration
2;Collaboration;Connectivity;Social Collaboration
2;Collective;Connectivity;Social Collaboration
3;Communication;Connectivity;Social Collaboration
3;Community;Connectivity;Social Collaboration
3;Connections;Connectivity;Social Collaboration
3;Connectivity;Connectivity;Social Collaboration
2;Dissemination;Connectivity;Social Collaboration
2;Facilitation;Connectivity;Social Collaboration
1;Grid;Connectivity;Social Collaboration
1;Integration;Connectivity;Social Collaboration
3;Interaction;Connectivity;Social Collaboration
3;Interconnectivity;Connectivity;Social Collaboration
1;Interdependency;Connectivity;Social Collaboration
3;Links;Connectivity;Social Collaboration
2;Mutual Support;Connectivity;Social Collaboration
2;Neighborhood;Connectivity;Social Collaboration
3;Network;Connectivity;Social Collaboration
3;Relationships;Connectivity;Social Collaboration
3;Sharing;Connectivity;Social Collaboration
2;Support;Connectivity;Social Collaboration
1;Synergy;Connectivity;Social Collaboration
1;System;Connectivity;Social Collaboration
1;Ties;Connectivity;Social Collaboration
1;Web;Connectivity;Social Collaboration
original definition;This refers to the quality, depth, and strength of social relationships within a system or community. Enhanced connectivity creates a responsive, well-informed network that can rapidly disseminate vital information and resources, facilitate mutual support, and collectively implement strategies to deal with crisis situations.;Connectivity;Social Collaboration
Affirmation;Strong community connectivity fosters mutual support during crises.;Connectivity;Social Collaboration
Affirmation;Connectivity ensures rapid dissemination of vital information in emergencies.;Connectivity;Social Collaboration
Affirmation;Social networks play a critical role in collective problem-solving.;Connectivity;Social Collaboration
Affirmation;Enhanced connectivity strengthens a community’s resilience to challenges.;Connectivity;Social Collaboration
Affirmation;A well-connected network facilitates the sharing of resources during disasters.;Connectivity;Social Collaboration
Affirmation;Connectivity allows for quicker coordination of response efforts.;Connectivity;Social Collaboration
Affirmation;Building strong relationships improves the responsiveness of a community.;Connectivity;Social Collaboration
Affirmation;Connectivity ensures that critical updates reach all members of a system.;Connectivity;Social Collaboration
Affirmation;Collaborative networks enhance the ability to implement crisis strategies.;Connectivity;Social Collaboration
Affirmation;Connectivity between organizations helps align efforts during emergencies.;Connectivity;Social Collaboration
Affirmation;A high level of connectivity encourages collective adaptation to change.;Connectivity;Social Collaboration
Affirmation;Strong ties between community members create a support system in times of need.;Connectivity;Social Collaboration
Affirmation;Connectivity fosters a sense of belonging and trust within communities.;Connectivity;Social Collaboration
Affirmation;Information sharing through networks is a key aspect of connectivity.;Connectivity;Social Collaboration
Affirmation;Connectivity ensures that vulnerable groups receive timely assistance.;Connectivity;Social Collaboration
Affirmation;Social connectivity enables communities to recover faster from setbacks.;Connectivity;Social Collaboration
Affirmation;Building inter-agency connectivity improves coordination during disasters.;Connectivity;Social Collaboration
Affirmation;Connectivity supports knowledge sharing and innovation within a system.;Connectivity;Social Collaboration
Affirmation;Strong interpersonal connections boost emotional resilience in tough times.;Connectivity;Social Collaboration
Affirmation;High connectivity allows for better resource allocation during crises.;Connectivity;Social Collaboration
Affirmation;Connectivity ensures the rapid mobilization of aid and volunteers.;Connectivity;Social Collaboration
Affirmation;Communities with strong connectivity are more likely to implement collective strategies.;Connectivity;Social Collaboration
Affirmation;Strengthening social ties enhances the effectiveness of crisis management.;Connectivity;Social Collaboration
Affirmation;Connectivity creates opportunities for collaboration between different groups.;Connectivity;Social Collaboration
Affirmation;Establishing communication networks is a core component of connectivity.;Connectivity;Social Collaboration
Affirmation;Connectivity fosters collective action to address shared challenges.;Connectivity;Social Collaboration
Affirmation;Social connectivity reduces isolation and improves access to help in emergencies.;Connectivity;Social Collaboration
Affirmation;A connected system adapts more quickly to environmental changes.;Connectivity;Social Collaboration
Affirmation;Community connectivity promotes the efficient sharing of critical resources.;Connectivity;Social Collaboration
Affirmation;Connectivity between rural and urban areas ensures equitable access to resources.;Connectivity;Social Collaboration
Affirmation;High levels of connectivity facilitate joint problem-solving initiatives.;Connectivity;Social Collaboration
Affirmation;Connectivity creates pathways for faster information flow during crises.;Connectivity;Social Collaboration
Affirmation;Strong social networks allow communities to collectively build resilience.;Connectivity;Social Collaboration
Affirmation;Enhanced connectivity builds trust between stakeholders in disaster response.;Connectivity;Social Collaboration
Affirmation;Connectivity between systems ensures they work together effectively during challenges.;Connectivity;Social Collaboration
Affirmation;Connectivity fosters a culture of mutual support and cooperation.;Connectivity;Social Collaboration
Affirmation;Strong connectivity between individuals supports better mental health in crises.;Connectivity;Social Collaboration
Affirmation;Connectivity ensures marginalized groups are included in adaptation strategies.;Connectivity;Social Collaboration
Affirmation;High connectivity enables faster and more coordinated evacuations during emergencies.;Connectivity;Social Collaboration
Affirmation;A connected network of responders minimizes delays in disaster relief.;Connectivity;Social Collaboration
Affirmation;Connectivity strengthens the capacity to share and use local knowledge effectively.;Connectivity;Social Collaboration
Affirmation;Effective connectivity enhances the ability to distribute emergency resources equitably.;Connectivity;Social Collaboration
Affirmation;Connectivity ensures continuous access to critical services during disruptions.;Connectivity;Social Collaboration
Affirmation;Strong connectivity helps align community efforts with broader regional strategies.;Connectivity;Social Collaboration
Affirmation;Connectivity encourages open dialogue and collective decision-making.;Connectivity;Social Collaboration
Affirmation;Building strong social connectivity reduces the impact of crises on vulnerable populations.;Connectivity;Social Collaboration
Affirmation;Networks with strong connectivity can quickly adapt to evolving circumstances.;Connectivity;Social Collaboration
Affirmation;Connectivity fosters the sharing of lessons learned between different communities.;Connectivity;Social Collaboration
Affirmation;Increased connectivity strengthens early warning systems and responses.;Connectivity;Social Collaboration
Affirmation;Connectivity between sectors ensures holistic approaches to climate challenges.;Connectivity;Social Collaboration
Affirmation;Social connectivity builds resilience by creating a network of mutual aid and support.;Connectivity;Social Collaboration
2;Adjust;Coordination;Social Collaboration
2;Administer;Coordination;Social Collaboration
3;Align;Coordination;Social Collaboration
3;Arrange;Coordination;Social Collaboration
3;Collaboration;Coordination;Social Collaboration
2;Control;Coordination;Social Collaboration
1;Cooperation;Coordination;Social Collaboration
