type;text;priority_systems
outcome_target;Secure the future of 15 million hectares of mangroves globally by mobilizing US$4 billion to halt mangrove loss, restore half of recent losses, double protection of mangroves globally to support the resilience of 15 million people and over US$65 billion worth of property annually;Coastal and Oceanic Systems
outcome_target;Secure the future, halt loss, protect and restore 125,000 sqm of shallow-water tropical coral reefs with investments of US$12 billion to support the resilience of more than half a billion people globally;Coastal and Oceanic Systems
outcome_target;Coastal cities are protected from ocean-based hazards by green, gray and hybrid solutions building resilience of at least 900 million people globally;Coastal and Oceanic Systems
outcome_target;Halt loss of, protect and restore seagrass ecosystems to mitigate climate change and support people and biodiversity globally;Coastal and Oceanic Systems
outcome_target;Halt loss, protect and restore, marshes, and kelp forests to support people in temperate communities;Coastal and Oceanic Systems
affirmation;Protecting mangroves safeguards coastal communities from storm surges and supports marine biodiversity.;Coastal and Oceanic Systems
affirmation;Monitoring ocean temperatures helps predict and mitigate coral bleaching events.;Coastal and Oceanic Systems
affirmation;Establishing marine protected areas preserves biodiversity and supports fisheries.;Coastal and Oceanic Systems
affirmation;Reducing plastic pollution ensures healthier marine environments.;Coastal and Oceanic Systems
affirmation;Educating communities about sustainable tourism preserves coastal ecosystems.;Coastal and Oceanic Systems
affirmation;Rebuilding coral reefs protects against wave erosion and supports marine life.;Coastal and Oceanic Systems
affirmation;Strengthening disaster response systems helps coastal regions recover quickly.;Coastal and Oceanic Systems
affirmation;Implementing mangrove reforestation absorbs carbon and reduces coastal flooding.;Coastal and Oceanic Systems
affirmation;Reducing illegal fishing activities ensures long-term marine resource sustainability.;Coastal and Oceanic Systems
affirmation;Investing in renewable energy projects along coasts minimizes environmental impact.;Coastal and Oceanic Systems
affirmation;Mobilizing $4 billion halts mangrove loss and restores ecosystems to support the resilience of coastal communities.;Coastal and Oceanic Systems
affirmation;Restoring half of recent mangrove losses protects biodiversity and mitigates coastal flooding.;Coastal and Oceanic Systems
affirmation;Doubling global mangrove protection safeguards $65 billion worth of property annually.;Coastal and Oceanic Systems
affirmation;Restoring 125,000 sqm of shallow-water coral reefs supports half a billion people globally.;Coastal and Oceanic Systems
affirmation;Investing $12 billion protects coral reefs and boosts ecosystem services for coastal livelihoods.;Coastal and Oceanic Systems
affirmation;Developing hybrid solutions strengthens coastal city resilience against ocean-based hazards.;Coastal and Oceanic Systems
affirmation;Expanding green infrastructure protects coastal cities and benefits 900 million people worldwide.;Coastal and Oceanic Systems
affirmation;Halting seagrass ecosystem loss mitigates climate change and supports marine biodiversity.;Coastal and Oceanic Systems
affirmation;Protecting marshes and kelp forests enhances temperate community resilience to climate impacts.;Coastal and Oceanic Systems
affirmation;Rehabilitating mangroves reduces storm surge impacts and fosters sustainable fisheries.;Coastal and Oceanic Systems
affirmation;Investing in coral reef conservation ensures long-term protection of marine tourism industries.;Coastal and Oceanic Systems
affirmation;Promoting nature-based solutions strengthens coastal defenses and protects livelihoods.;Coastal and Oceanic Systems
affirmation;Mapping vulnerable coral reefs improves targeted conservation efforts.;Coastal and Oceanic Systems
affirmation;Increasing research funding for mangrove ecosystems enhances their restoration and resilience potential.;Coastal and Oceanic Systems
affirmation;Creating marine protected areas secures the future of critical ecosystems for biodiversity.;Coastal and Oceanic Systems
affirmation;Integrating blue carbon initiatives into climate policies boosts coastal ecosystem restoration.;Coastal and Oceanic Systems
affirmation;Encouraging sustainable aquaculture reduces pressure on overexploited marine habitats.;Coastal and Oceanic Systems
affirmation;Restoring kelp forests enhances coastal resilience and supports fisheries in temperate regions.;Coastal and Oceanic Systems
affirmation;Increasing global investment in marshland restoration supports biodiversity and carbon sequestration.;Coastal and Oceanic Systems
affirmation;Developing hybrid coastal defenses blends natural and engineered solutions for better protection.;Coastal and Oceanic Systems
affirmation;Ensuring the protection of shallow-water coral reefs safeguards global marine biodiversity.;Coastal and Oceanic Systems
affirmation;Reducing agricultural runoff prevents harmful algae blooms and protects coastal ecosystems.;Coastal and Oceanic Systems
affirmation;Halt the degradation of seagrass meadows to sustain carbon storage and fish habitats.;Coastal and Oceanic Systems
affirmation;Doubling the extent of mangrove protection mitigates the risk of extreme weather events for vulnerable communities.;Coastal and Oceanic Systems
affirmation;Developing coral reef restoration projects provides habitats for marine species and improves fisheries.;Coastal and Oceanic Systems
affirmation;Promoting community-led conservation projects fosters sustainable management of coastal areas.;Coastal and Oceanic Systems
affirmation;Increasing awareness campaigns encourages public support for protecting marine ecosystems.;Coastal and Oceanic Systems
affirmation;Expanding marine biodiversity monitoring improves understanding of ecosystem health.;Coastal and Oceanic Systems
affirmation;Supporting local livelihoods through sustainable fishing reduces pressure on fragile coral reefs.;Coastal and Oceanic Systems
affirmation;Rehabilitating degraded seagrass habitats strengthens climate resilience in coastal zones.;Coastal and Oceanic Systems
affirmation;Restoring mangroves improves coastal water quality and protects aquatic species.;Coastal and Oceanic Systems
affirmation;Securing $4 billion in financing enables large-scale restoration of critical mangrove forests.;Coastal and Oceanic Systems
affirmation;Adopting blue carbon practices enhances the global fight against climate change.;Coastal and Oceanic Systems
affirmation;Protecting kelp forests ensures sustainable livelihoods for communities reliant on coastal resources.;Coastal and Oceanic Systems
affirmation;Creating coral reef nurseries accelerates the recovery of damaged reef ecosystems.;Coastal and Oceanic Systems
affirmation;Establishing seagrass protection zones enhances biodiversity and mitigates coastal erosion.;Coastal and Oceanic Systems
affirmation;Expanding global marshland conservation strengthens natural flood defenses.;Coastal and Oceanic Systems
affirmation;Building local capacity for coral reef conservation empowers coastal communities.;Coastal and Oceanic Systems
affirmation;Combining natural and engineered coastal defenses improves disaster preparedness.;Coastal and Oceanic Systems
affirmation;Funding mangrove restoration supports food security for millions of coastal residents.;Coastal and Oceanic Systems
affirmation;Investing in coral reef health enhances ecosystem services and mitigates storm impacts.;Coastal and Oceanic Systems
affirmation;Educating coastal communities on sustainable practices ensures long-term resource management.;Coastal and Oceanic Systems
affirmation;Halting the destruction of seagrass ecosystems supports biodiversity hotspots.;Coastal and Oceanic Systems
affirmation;Protecting mangroves enhances local ecotourism opportunities for sustainable development.;Coastal and Oceanic Systems
affirmation;Using satellite imagery improves monitoring and planning for coral reef restoration.;Coastal and Oceanic Systems
affirmation;Expanding global partnerships for coastal ecosystem restoration accelerates progress.;Coastal and Oceanic Systems
affirmation;Promoting eco-friendly practices in tourism protects fragile marine ecosystems.;Coastal and Oceanic Systems
affirmation;Incorporating local knowledge into coastal planning fosters culturally appropriate solutions.;Coastal and Oceanic Systems
affirmation;Establishing long-term funding mechanisms ensures sustained protection of seagrass meadows.;Coastal and Oceanic Systems
affirmation;Reducing coastal pollution preserves the health of mangrove and coral reef ecosystems.;Coastal and Oceanic Systems
affirmation;Rehabilitating marshlands reduces flood risks and enhances carbon sequestration.;Coastal and Oceanic Systems
affirmation;Securing the future of kelp forests supports temperate marine biodiversity.;Coastal and Oceanic Systems
affirmation;Developing green infrastructure along coastlines reduces vulnerability to sea level rise.;Coastal and Oceanic Systems
affirmation;Encouraging coral reef-friendly fishing practices minimizes habitat destruction.;Coastal and Oceanic Systems
affirmation;Investing in mangrove nurseries ensures steady regeneration of degraded areas.;Coastal and Oceanic Systems
affirmation;Halting the loss of seagrass meadows boosts oceanic carbon storage capacities.;Coastal and Oceanic Systems
affirmation;Implementing sustainable coastal tourism practices reduces environmental stress on ecosystems.;Coastal and Oceanic Systems
outcome_target;Private sector integrates physical climate risks into investment decisions and continues to innovate mechanisms for financing adap tation and resilience so as to enable the mobilization of the US$215 billion to US$387 billion that will be needed annually across both public and private sources;Cross-cutting Enabler: Finance
outcome_target;Public finance actors increase provision of climate finance and allocate 50% of climate funds to adaptation and resilience;Cross-cutting Enabler: Finance
outcome_target;Global property and casualty insurance sector has an industry capabilities framework, actively supports project implementation, and institutionalizes a longer-term industry approach to climate adaptation;Cross-cutting Enabler: Finance
outcome_target;Multilateral Development Banks and Development Partners support scaling-up private finance by providing dedicated resources to support credit enhancement and de-risking of adaptation investments;Cross-cutting Enabler: Finance
affirmation;Integrating physical climate risks into private sector investment decisions ensures long-term financial sustainability.;Cross-cutting Enabler: Finance
affirmation;Innovating financial mechanisms mobilizes resources for adaptation and resilience projects globally.;Cross-cutting Enabler: Finance
affirmation;Allocating 50% of climate funds to adaptation strengthens communities against climate hazards.;Cross-cutting Enabler: Finance
affirmation;Providing credit enhancements de-risks private sector investments in adaptation projects.;Cross-cutting Enabler: Finance
affirmation;Encouraging public-private partnerships accelerates resource mobilization for climate adaptation.;Cross-cutting Enabler: Finance
affirmation;Scaling up global insurance frameworks helps protect communities from climate-induced property losses.;Cross-cutting Enabler: Finance
affirmation;Introducing dedicated resources for de-risking adaptation investments attracts more private finance.;Cross-cutting Enabler: Finance
affirmation;Promoting resilience bonds supports the funding of infrastructure upgrades in vulnerable areas.;Cross-cutting Enabler: Finance
affirmation;Strengthening multilateral cooperation ensures sustainable finance for adaptation initiatives.;Cross-cutting Enabler: Finance
affirmation;Institutionalizing climate adaptation in the insurance sector ensures long-term industry alignment.;Cross-cutting Enabler: Finance
affirmation;Increasing public finance for climate adaptation boosts resource allocation to the most vulnerable regions.;Cross-cutting Enabler: Finance
affirmation;Developing climate adaptation portfolios attracts impact investors.;Cross-cutting Enabler: Finance
affirmation;Reducing investment risk in adaptation projects ensures long-term success for public and private sectors.;Cross-cutting Enabler: Finance
affirmation;Mobilizing billions annually through innovative financial tools bridges the adaptation funding gap.;Cross-cutting Enabler: Finance
affirmation;Supporting local governments in accessing climate funds accelerates community resilience efforts.;Cross-cutting Enabler: Finance
affirmation;Providing financial training to community organizations strengthens grassroots adaptation efforts.;Cross-cutting Enabler: Finance
affirmation;Expanding the global adaptation fund ensures equitable financing for vulnerable populations.;Cross-cutting Enabler: Finance
affirmation;Creating subsidies for green technologies accelerates their adoption in climate-sensitive regions.;Cross-cutting Enabler: Finance
affirmation;Innovative adaptation finance tools reduce the cost of climate resilience projects.;Cross-cutting Enabler: Finance
affirmation;Aligning public budgets with climate adaptation priorities ensures effective use of resources.;Cross-cutting Enabler: Finance
affirmation;Building credit mechanisms for climate-smart agriculture supports farmers in adapting to climate change.;Cross-cutting Enabler: Finance
affirmation;Supporting insurance schemes for small-scale fishers protects livelihoods from climate impacts.;Cross-cutting Enabler: Finance
affirmation;Incentivizing green energy projects attracts long-term investments in adaptation.;Cross-cutting Enabler: Finance
affirmation;Improving access to adaptation funds empowers small and medium enterprises to implement resilient solutions.;Cross-cutting Enabler: Finance
affirmation;Increasing transparency in adaptation finance attracts international partnerships.;Cross-cutting Enabler: Finance
affirmation;Mobilizing multilateral development banks enables large-scale adaptation financing.;Cross-cutting Enabler: Finance
affirmation;Establishing regional adaptation finance hubs improves the accessibility of climate funds.;Cross-cutting Enabler: Finance
affirmation;Encouraging banks to develop green loan products supports adaptation efforts at all scales.;Cross-cutting Enabler: Finance
affirmation;Expanding microfinance programs ensures adaptation efforts reach the grassroots level.;Cross-cutting Enabler: Finance
affirmation;Integrating physical risks into corporate reporting increases accountability and preparedness.;Cross-cutting Enabler: Finance
affirmation;Creating resilience bonds for coastal cities protects infrastructure against rising sea levels.;Cross-cutting Enabler: Finance
affirmation;Simplifying access to adaptation funds enables developing nations to implement solutions faster.;Cross-cutting Enabler: Finance
affirmation;Establishing metrics to measure adaptation finance impact improves decision-making.;Cross-cutting Enabler: Finance
affirmation;Strengthening risk-sharing frameworks in the insurance sector reduces economic losses from climate events.;Cross-cutting Enabler: Finance
affirmation;Investing in early warning systems demonstrates cost-effective adaptation finance allocation.;Cross-cutting Enabler: Finance
affirmation;Building coalitions of private investors accelerates funding for resilience projects.;Cross-cutting Enabler: Finance
affirmation;Supporting community-driven climate projects through grant programs fosters inclusivity in adaptation finance.;Cross-cutting Enabler: Finance
affirmation;Reducing bureaucratic barriers for accessing climate finance empowers local adaptation leaders.;Cross-cutting Enabler: Finance
affirmation;Increasing funding for nature-based solutions enhances biodiversity and community resilience.;Cross-cutting Enabler: Finance
affirmation;Designing long-term financing models secures sustainable adaptation investments.;Cross-cutting Enabler: Finance
affirmation;Leveraging blockchain technology ensures transparency in adaptation finance.;Cross-cutting Enabler: Finance
affirmation;Establishing public adaptation bonds fosters participation in financing climate resilience.;Cross-cutting Enabler: Finance
affirmation;Encouraging philanthropy partnerships closes the adaptation finance gap.;Cross-cutting Enabler: Finance
affirmation;Supporting innovation hubs with finance tools accelerates the creation of climate solutions.;Cross-cutting Enabler: Finance
affirmation;Implementing performance-based finance models ensures accountability in adaptation funding.;Cross-cutting Enabler: Finance
affirmation;Introducing carbon offset funds for adaptation increases resources for vulnerable regions.;Cross-cutting Enabler: Finance
affirmation;Providing affordable insurance premiums helps low-income communities prepare for climate risks.;Cross-cutting Enabler: Finance
affirmation;Scaling up private finance contributions ensures alignment with global adaptation goals.;Cross-cutting Enabler: Finance
affirmation;Creating tax incentives for climate adaptation projects attracts private sector investments.;Cross-cutting Enabler: Finance
affirmation;Improving risk assessment tools in finance increases the success rate of adaptation projects.;Cross-cutting Enabler: Finance
affirmation;Encouraging diversified investment portfolios in climate adaptation minimizes systemic risks.;Cross-cutting Enabler: Finance
affirmation;Establishing adaptation endowment funds secures resources for long-term resilience efforts.;Cross-cutting Enabler: Finance
affirmation;Promoting gender-responsive climate finance ensures equitable resource allocation.;Cross-cutting Enabler: Finance
affirmation;Developing localized finance mechanisms aligns adaptation efforts with community needs.;Cross-cutting Enabler: Finance
outcome_target;10,000 cities and 100 regional governments have evidence-based, actionable adaptation & resilience plans;Cross-cutting Enabler: Planning
outcome_target;2,000 companies have evidence-based, actionable adaptation & resil ience plans;Cross-cutting Enabler: Planning
outcome_target;Universal access to data and analytics required to integrate climate risks and impacts into decision making and action across all levels;Cross-cutting Enabler: Planning
